Seed,Scheme,Approach,w1,b1,w2,b2,wx,wy,by,k_best,base_estimator,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC,Imputation_score
0,None,Oracle,,,,,,,,,,0.0,0.8076923076923077,0.8006535947712419,0.8484848484848485,0.9150326797385622,[]
0,MCAR_0.2,naive,,,,,,,,,,21.33,0.7692307692307693,0.7712418300653594,0.8125,0.8300653594771241,[]
0,MCAR_0.2,self_training,,,,,,,,1.0,SVC,21.33,0.8461538461538461,0.8300653594771241,0.8823529411764706,0.8758169934640523,"[1.0, 1.0, 0.875, 0.75, 0.8, 0.75, 0.7708333333333333, 0.7833333333333333]"
0,MCAR_0.2,self_training,,,,,,,,1.0,LogisticRegression,21.33,0.8461538461538461,0.803921568627451,0.8888888888888888,0.869281045751634,"[1.0, 0.8333333333333333, 0.8, 0.8333333333333333, 0.8571428571428572, 0.875, 0.788888888888889, 0.7333333333333334]"
0,MCAR_0.2,self_training,,,,,,,,1.0,RandomForestClassifier,21.33,0.8461538461538461,0.8562091503267973,0.875,0.9215686274509804,"[1.0, 1.0, 0.6666666666666666, 0.75, 0.8, 0.8333333333333334, 0.8541666666666667, 0.8611111111111112]"
0,MCAR_0.2,self_training,,,,,,,,1.0,XGBClassifier,21.33,0.8461538461538461,0.8562091503267973,0.875,0.9215686274509804,"[0.5, 0.8333333333333333, 0.875, 0.9, 0.8, 0.8333333333333334, 0.8541666666666667, 0.8666666666666667]"
0,MCAR_0.2,label_propagation,,,,,,,,,,21.33,0.7692307692307693,0.7712418300653594,0.8125,0.869281045751634,"[0.5333333333333333, 0.6333333333333333, 0.55, 0.55, 0.55, 0.55, 0.55, 0.55, 0.55, 0.55]"
0,MCAR_0.5,naive,,,,,,,,,,52.0,0.8076923076923077,0.826797385620915,0.8387096774193549,0.8366013071895425,[]
0,MCAR_0.5,self_training,,,,,,,,1.0,SVC,52.0,0.8076923076923077,0.8529411764705883,0.8275862068965517,0.8823529411764706,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.9285714285714286, 0.8888888888888888, 0.9, 0.9090909090909092, 0.8125, 0.7946428571428572, 0.78125, 0.7708333333333333, 0.7625, 0.7222222222222222, 0.7367149758454106, 0.7488888888888889, 0.7153846153846153, 0.725]"
0,MCAR_0.5,self_training,,,,,,,,1.0,LogisticRegression,52.0,0.8846153846153846,0.8856209150326797,0.9090909090909091,0.9281045751633987,"[0.5, 0.8333333333333333, 0.875, 0.8333333333333333, 0.8571428571428572, 0.875, 0.85, 0.8636363636363636, 0.8461538461538461, 0.7747252747252746, 0.7946428571428572, 0.8111111111111111, 0.74375, 0.7333333333333334, 0.7250000000000001, 0.7181818181818183, 0.7333333333333334, 0.7461538461538462, 0.7571428571428571]"
